GeneID,P-value,Significant,TrueDeltaSame,TrueDeltaDiff,
gene-NDUFS1,1.0,no,0.217,0.217
gene-WDR12,0.03896103896103896,yes,0.251,0.26
gene-NDUFB3,0.9004329004329005,no,0.121,0.12
gene-ATF2,1.0,no,0.0,0.0
gene-NR4A2,0.170995670995671,no,0.13,0.137
gene-MRAS,0.22077922077922077,no,0.203,0.207
gene-IGFBP2,0.44805194805194803,no,0.293,0.297
gene-MAX,1.0,no,0.109,0.109
gene-NDUFS8,0.4675324675324675,no,0.339,0.335
gene-RPS6KB2,0.6623376623376623,no,0.166,0.164
gene-GSTP1,0.6948051948051948,no,0.261,0.259
gene-NDUFV1,0.9047619047619048,no,0.373,0.372
gene-LOC116505343,1.0,no,0.0,0.0
gene-SIRT3,0.2748917748917749,no,0.107,0.11
gene-RNH1,0.15151515151515152,no,0.09,0.093
gene-DRD4,0.8722943722943723,no,0.364,0.366
gene-IGF2,0.021645021645021644,yes,0.22,0.237
gene-LOC116512145,1.0,no,0.0,0.0
gene-PIK3C2A,0.22943722943722944,no,0.161,0.164
gene-LOC116513013,0.18831168831168832,no,0.183,0.186
gene-LIN7C,1.0,no,0.157,0.156
gene-CCND1,0.7943722943722944,no,0.212,0.21
gene-LOC116514261,0.9632034632034632,no,0.243,0.244
gene-DDB2,1.0,no,0.0,0.0
gene-NDUFS3,0.0021645021645021645,yes,0.171,0.191
gene-RAD51B,0.8095238095238095,no,0.502,0.493
gene-LOC116505938,1.0,no,0.21,0.21
gene-NDUFAF1,0.6731601731601732,no,0.117,0.115
gene-RAD51,0.17965367965367965,no,0.24,0.245
gene-NFKBIA,0.006493506493506494,yes,0.166,0.202
gene-FOXA1,0.7987012987012987,no,0.215,0.217
gene-ISCA2,0.7748917748917749,no,0.261,0.259
gene-FOS,0.05627705627705628,no,0.257,0.274
gene-TSHR,0.6688311688311688,no,0.118,0.116
gene-FOXN3,0.13636363636363635,no,0.315,0.322
gene-RPS6KA5,0.987012987012987,no,0.143,0.144
gene-NDUFB1,0.6861471861471862,no,0.35,0.354
gene-HSP90AA1,0.017316017316017316,yes,0.292,0.31
gene-MOK,0.11038961038961038,no,0.149,0.153
gene-XRCC3,0.010822510822510822,yes,0.276,0.314
gene-AKT1,1.0,no,0.118,0.118
