Gene ID,P-value,Significant,True delta same,True delta diff,
gene_85,0.02857142857142857,1,0.68,0.437
gene_124,0.02857142857142857,1,0.633,0.391
gene_179,0.02857142857142857,1,0.351,0.662
gene_194,0.02857142857142857,1,0.581,0.342
gene_207,0.02857142857142857,1,0.342,0.555
gene_210,0.02857142857142857,1,0.324,0.601
gene_213,0.02857142857142857,1,0.425,0.625
gene_228,0.02857142857142857,1,0.331,0.568
gene_470,0.02857142857142857,1,0.339,0.665
gene_510,0.02857142857142857,1,0.295,0.479
gene_513,0.02857142857142857,1,0.369,0.634
gene_516,0.02857142857142857,1,0.766,0.522
gene_547,0.02857142857142857,1,0.614,0.338
